URL,Duration (sec),Prompt 1 (sec),Prompt 2 (sec)
https://www.youtube.com/watch?v=sSAsJ5pHQ0k,143,8.03,12.29
https://www.youtube.com/watch?v=uwzViw-T0-A,146,7,10.05
https://www.youtube.com/watch?v=mp-H5CGV4Mg,161,8.65,11.48
https://www.youtube.com/watch?v=isdsMlk9AL4,178,8.31,12.85
https://www.youtube.com/watch?v=ddTiAKS-icw,201,6.93,11.27
https://www.youtube.com/watch?v=QUTYxwTsbiM,212,6.78,11.33
https://www.youtube.com/watch?v=Xtp0CMb3afQ,315,8.39,12.18
https://www.youtube.com/watch?v=aTi5dbVmUhU,345,8.31,13.97
https://www.youtube.com/watch?v=dvav0Nprnas,347,8.49,11.97
https://www.youtube.com/watch?v=mvXx-j1X6Lk,350,7.06,11.36
https://www.youtube.com/watch?v=TqhqqvmRcj0,406,9.42,13.56
https://www.youtube.com/watch?v=PHR_wFlB8A4,434,9.36,13.29
https://www.youtube.com/watch?v=SRZLew1fFHY,486,10.01,13.06
https://www.youtube.com/watch?v=eMXmMHVNx4U,499,8.08,10.19
https://www.youtube.com/watch?v=DVkPeHXjCQA,505,10.92,18.13
https://www.youtube.com/watch?v=KxxL7Jp-Vmo,507,9.6,12.82
https://www.youtube.com/watch?v=Rj4HYzEJipQ,560,7.41,12.38
https://www.youtube.com/watch?v=-024p24bvLA,662,12.34,14.01
https://www.youtube.com/watch?v=ZPRF74QoUyE,790,13.1,19.63
https://www.youtube.com/watch?v=23_mESawEEc,890,12.62,16.11